lot_id,jour,heure,temperature_C,humidite_sol_pct,luminosite_lux,humidite_air_pct,chances_pousse_pct
1,1,0,24.82,70.3,1.6,36.3,81.47
1,1,1,26.39,67.76,0.0,36.41,81.47
1,1,2,26.45,69.77,5.1,41.01,81.47
1,1,3,26.67,68.1,0.0,42.34,81.47
1,1,4,26.27,67.92,0.0,40.84,81.47
1,1,5,25.09,68.87,0.0,41.5,81.47
1,1,6,23.73,70.51,5.6,42.21,81.47
1,1,7,23.32,70.2,408.1,37.25,81.47
1,1,8,22.35,68.07,651.8,37.27,81.47
1,1,9,20.16,69.08,1139.3,38.71,81.47
1,1,10,20.01,70.01,1382.3,35.15,81.47
1,1,11,17.82,70.52,1626.9,34.18,81.47
1,1,12,18.4,67.53,1828.8,34.03,81.47
1,1,13,16.81,68.76,1794.9,33.74,81.47
1,1,14,17.91,69.38,1813.2,30.38,81.47
1,1,15,17.13,68.78,1101.3,32.82,81.47
1,1,16,18.26,68.9,856.2,28.84,81.47
1,1,17,18.17,69.99,587.6,30.62,81.47
1,1,18,19.81,70.61,393.4,32.23,81.47
1,1,19,21.41,69.14,0.0,33.56,81.47
1,1,20,21.84,68.32,2.5,33.15,81.47
1,1,21,21.88,69.39,0.0,34.36,81.47
1,1,22,24.59,68.62,0.4,33.05,81.47
1,1,23,24.89,70.98,0.0,34.87,81.47
1,2,0,29.1,66.04,2.3,40.85,96.06
1,2,1,29.99,66.43,2.8,38.66,96.06
1,2,2,30.05,71.08,0.0,40.7,96.06
1,2,3,29.64,67.04,0.0,42.16,96.06
1,2,4,28.58,68.5,0.0,44.55,96.06
1,2,5,27.96,67.31,1.6,40.21,96.06
1,2,6,27.47,69.75,0.0,41.83,96.06
1,2,7,26.33,68.96,388.0,38.78,96.06
1,2,8,25.22,68.24,792.3,40.24,96.06
1,2,9,23.37,68.14,1113.8,37.45,96.06
1,2,10,23.49,68.5,1295.7,38.21,96.06
1,2,11,21.07,68.97,1744.5,34.7,96.06
1,2,12,21.28,68.41,1827.7,37.57,96.06
1,2,13,20.19,66.66,1631.1,32.46,96.06
1,2,14,20.11,68.3,1541.0,34.13,96.06
1,2,15,20.32,69.97,1202.9,36.47,96.06
1,2,16,21.11,66.5,809.1,32.95,96.06
1,2,17,21.45,68.86,647.9,32.28,96.06
1,2,18,22.13,65.52,331.5,34.18,96.06
1,2,19,23.82,65.92,0.3,34.27,96.06
1,2,20,24.51,68.02,0.1,33.01,96.06
1,2,21,26.38,68.63,2.2,37.51,96.06
1,2,22,26.67,66.38,1.0,37.99,96.06
1,2,23,28.61,73.57,1.1,40.22,96.06
1,3,0,26.91,65.77,0.0,36.04,83.62
1,3,1,26.41,67.59,0.0,38.0,83.62
1,3,2,27.02,66.55,3.1,38.87,83.62
1,3,3,27.58,65.14,4.8,41.94,83.62
1,3,4,27.51,68.29,0.0,40.01,83.62
1,3,5,26.59,66.11,0.0,36.67,83.62
1,3,6,24.68,69.54,0.0,38.2,83.62
1,3,7,24.07,64.63,580.0,39.78,83.62
1,3,8,22.86,69.53,653.5,39.61,83.62
1,3,9,21.06,65.13,1067.2,38.45,83.62
1,3,10,20.26,65.65,1286.6,34.19,83.62
1,3,11,18.27,65.1,1778.3,35.03,83.62
1,3,12,18.44,66.35,1760.5,35.37,83.62
1,3,13,18.23,68.42,1691.5,30.9,83.62
1,3,14,18.19,67.24,1349.7,31.93,83.62
1,3,15,17.72,70.22,1286.5,29.62,83.62
1,3,16,18.73,66.89,860.5,29.65,83.62
1,3,17,19.71,66.35,551.6,28.98,83.62
1,3,18,20.74,69.23,402.7,30.89,83.62
1,3,19,21.11,68.37,1.1,29.74,83.62
1,3,20,21.77,65.22,0.0,33.59,83.62
1,3,21,24.69,66.39,0.0,33.44,83.62
1,3,22,25.07,68.45,0.0,35.77,83.62
1,3,23,25.94,68.33,0.0,34.72,83.62
1,4,0,26.74,64.22,2.3,39.03,100.0
1,4,1,28.04,66.98,0.0,37.54,100.0
1,4,2,27.93,65.03,2.0,39.46,100.0
1,4,3,27.31,65.56,0.8,39.33,100.0
1,4,4,26.83,66.41,0.5,39.59,100.0
1,4,5,26.25,66.39,0.0,38.06,100.0
1,4,6,25.13,65.72,0.6,41.89,100.0
1,4,7,24.76,65.8,495.2,37.38,100.0
1,4,8,23.08,65.61,798.6,36.61,100.0
1,4,9,22.1,68.34,1078.5,37.24,100.0
1,4,10,21.03,65.44,1420.2,35.37,100.0
1,4,11,19.74,64.88,1644.7,34.8,100.0
1,4,12,19.65,67.48,1944.8,31.7,100.0
1,4,13,18.88,66.32,1901.9,30.6,100.0
1,4,14,17.86,65.14,1329.8,30.23,100.0
1,4,15,18.07,66.27,1256.2,33.33,100.0
1,4,16,19.4,65.18,824.2,31.08,100.0
1,4,17,19.03,68.79,710.0,29.81,100.0
1,4,18,19.83,68.07,360.7,32.87,100.0
1,4,19,21.05,65.14,0.0,31.88,100.0
1,4,20,22.86,66.98,0.0,32.63,100.0
1,4,21,24.39,66.81,1.4,32.37,100.0
1,4,22,24.72,67.96,0.7,34.22,100.0
1,4,23,27.26,66.21,2.4,36.74,100.0
1,5,0,27.56,68.21,0.0,36.73,88.67
1,5,1,26.43,69.06,1.8,38.07,88.67
1,5,2,27.56,63.63,0.0,41.07,88.67
1,5,3,27.79,67.39,0.0,40.76,88.67
1,5,4,26.68,64.39,0.0,40.34,88.67
1,5,5,26.61,64.73,0.0,39.46,88.67
1,5,6,24.51,67.62,1.5,38.63,88.67
1,5,7,24.93,66.41,457.5,37.56,88.67
1,5,8,22.25,66.05,644.1,36.95,88.67
1,5,9,21.44,63.47,1079.1,36.1,88.67
1,5,10,20.51,68.7,1475.4,33.81,88.67
1,5,11,18.89,67.76,1594.4,31.6,88.67
1,5,12,19.68,66.42,1700.3,28.95,88.67
1,5,13,18.44,65.41,1711.8,32.66,88.67
1,5,14,17.37,67.01,1650.6,26.72,88.67
1,5,15,17.61,65.53,1209.7,29.84,88.67
1,5,16,17.97,65.91,835.2,29.21,88.67
1,5,17,19.37,68.26,699.1,30.89,88.67
1,5,18,19.82,66.88,579.7,31.93,88.67
1,5,19,21.19,69.26,0.0,30.2,88.67
1,5,20,23.35,64.93,0.0,33.65,88.67
1,5,21,23.91,67.08,0.0,33.09,88.67
1,5,22,24.83,65.95,0.0,34.12,88.67
1,5,23,25.64,66.07,0.0,37.06,88.67
1,6,0,25.99,63.74,0.2,39.7,88.01
1,6,1,25.39,66.02,0.0,40.46,88.01
1,6,2,26.0,62.5,0.0,40.47,88.01
1,6,3,26.35,63.85,1.3,38.41,88.01
1,6,4,25.71,63.39,0.0,41.14,88.01
1,6,5,24.55,64.63,2.0,40.03,88.01
1,6,6,24.4,63.51,1.1,42.56,88.01
1,6,7,21.59,64.01,547.6,39.3,88.01
1,6,8,21.77,64.3,777.9,38.34,88.01
1,6,9,20.92,65.59,1117.8,36.75,88.01
1,6,10,18.94,64.56,1435.2,35.44,88.01
1,6,11,18.33,68.32,1719.2,34.29,88.01
1,6,12,18.02,64.6,1576.1,32.06,88.01
1,6,13,16.01,64.68,1710.9,35.05,88.01
1,6,14,16.94,64.88,1589.6,28.42,88.01
1,6,15,17.06,66.36,1096.1,32.96,88.01
1,6,16,17.59,64.59,958.9,34.48,88.01
1,6,17,18.28,65.58,565.9,29.97,88.01
1,6,18,19.6,63.92,377.1,31.02,88.01
1,6,19,20.58,65.71,2.1,31.77,88.01
1,6,20,21.45,63.74,0.0,34.14,88.01
1,6,21,23.2,63.82,1.7,36.81,88.01
1,6,22,24.19,68.02,0.0,34.2,88.01
1,6,23,24.09,67.45,1.3,37.28,88.01
1,7,0,27.02,90.96,0.0,41.34,35.87
1,7,1,28.2,92.64,3.2,40.9,35.87
1,7,2,26.93,90.43,0.1,44.1,35.87
1,7,3,26.41,92.91,0.0,42.32,35.87
1,7,4,26.27,88.14,1.6,43.24,35.87
1,7,5,25.37,88.68,0.0,45.46,35.87
1,7,6,24.89,88.37,0.0,42.05,35.87
1,7,7,22.51,90.54,476.5,42.71,35.87
1,7,8,23.54,92.31,746.6,38.97,35.87
1,7,9,22.66,90.71,1089.3,39.39,35.87
1,7,10,20.32,90.4,1350.1,37.31,35.87
1,7,11,19.21,89.8,1579.9,36.99,35.87
1,7,12,18.33,92.88,1522.2,37.27,35.87
1,7,13,18.6,87.51,1679.2,34.04,35.87
1,7,14,17.11,89.45,1418.9,36.43,35.87
1,7,15,18.45,92.53,1289.6,31.61,35.87
1,7,16,18.2,91.35,795.8,34.2,35.87
1,7,17,19.1,90.06,668.8,33.97,35.87
1,7,18,20.04,92.36,275.7,34.72,35.87
1,7,19,21.67,90.16,0.7,32.72,35.87
1,7,20,23.08,90.34,0.0,37.2,35.87
1,7,21,23.51,88.51,0.0,37.74,35.87
1,7,22,24.38,93.25,0.0,40.67,35.87
